External ID,Name,Product Type,Internal Reference,Weight (Kg),Sales Description,Sales Price,Cost,Barcode
prod_1601_UPS_001,UPS-UA100 / DG1000VA,Goods,1601-UPS-001,6.5,"1000VA Offline UPS, Ideal for PC/Workstations",,,
prod_1601_UPS_002,UPS-UA850VA/480W Line-Interactive,Goods,1601-UPS-002,5.2,"850VA Line-Interactive UPS with AVR, prevents data loss",,,
prod_1601_UPS_003,UPS-UA1500VA/900W Line-Interactive,Goods,1601-UPS-003,10.5,"1500VA Line-Interactive UPS, provides extended backup time",,,
prod_1601_UPS_004,UPS-UA2000VA/1200W Line-Interactive,Goods,1601-UPS-004,13,"2000VA Line-Interactive UPS, designed for home office equipment",,,
prod_1601_UPS_005,UPS-UA3000VA/1800W Line-Interactive,Goods,1601-UPS-005,16.5,"3000VA Line-Interactive UPS, high capacity for sensitive electronics",,,
prod_1601_UPS_006,UPS-UDC9102S Online UPS 2KVA,Goods,1601-UPS-006,20,"2KVA Online Double Conversion UPS, Tower Type",,,
prod_1601_UPS_007,UPS-UDC9103S Online UPS 3KVA,Goods,1601-UPS-007,25,"3KVA Online Double Conversion UPS, high reliability",,,
prod_1601_UPS_008,UPS-UDC9106S-Pro 6KVA Online,Goods,1601-UPS-008,45,"6KVA Online UPS, Single Phase, for critical server infrastructure",,,
prod_1601_UPS_009,UPS-UDC110S-Pro 10KVA Online,Goods,1601-UPS-009,65,"10KVA Online UPS, Professional series for network equipment",,,
prod_1601_UPS_010,UPS-UDC9110H-RT 10KVA Online,Goods,1601-UPS-010,68,"10KVA Online UPS, Rack/Tower convertible for data centers",,,
prod_1601_UPS_011,UPS-MPBR20120N Battery Pack,Goods,1601-UPS-011,40,External Battery Pack for UDC9110H-RT Series,,,
prod_1601_UPS_012,UPS-YDC3320S Online UPS 20KVA,Goods,1601-UPS-012,120,"20KVA High Frequency Online UPS, industrial grade",,,
prod_1601_UPS_013,UPS-YDC3330S Online UPS 30KVA,Goods,1601-UPS-013,150,"30KVA High Frequency Online UPS, ideal for heavy industry",,,
